CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude;Privé
60102P046P;DRE SAVANES;IEPP OTI SUD;EPP MANTA;MANTA;9,905794;0,664016;0
50304P042P;DRE KARA;IEPP BINAH;EPP KOUDJIA;KOUDJIA;9,905025;1,311288;0
60102P059P;DRE SAVANES;IEPP OTI SUD;EPP NAMBOSSI;NAMBOSSI;9,904811;0,631866;0
50506P044P;DRE KARA;IEPP DOUFELGOU;EPP HOUNDE;HOUNDE;9,904192;1,123606;0
50607P051P;DRE KARA;IEPP KERAN;EPP MANTA;MANTACENTRE;9,904084;0,691097;0
50506P090P;DRE KARA;IEPP DOUFELGOU;EPP TCHITCHIDE;TCHITCHIDE;9,901824;1,137806;0
50506P097P;DRE KARA;IEPP DOUFELGOU;EPP WIA;WIYA;9,901045;1,180724;0
50506P014P;DRE KARA;IEPP DOUFELGOU;EPP ANDJIDE;ANDJIDE;9,895952;1,111572;0
50607P105P;DRE KARA;IEPP KERAN;EPP TCHARORE;ATALOTE;9,895933333;0,837986667;0
50405P039P;DRE KARA;IEPP DANKPEN;EPP KADOGOU;KATCHAMBACENTRE;9,893808;0,417422;0
50304P072P;DRE KARA;IEPP BINAH;EPP SOLLA CENTRE G/C;TININGOU;9,891328333;1,360735;0
50304P071P;DRE KARA;IEPP BINAH;EPP SOLLA CENTRE G/B;KOUYALA;9,890857;1,347884;0
50304P070P;DRE KARA;IEPP BINAH;EPP SOLLA CENTRE G/A;KOUYALA;9,890637;1,348068;0
50405P130P;DRE KARA;IEPP DANKPEN;EPP SAKPONI;SAKPONI;9,88963;0,643578;0
50506P081P;DRE KARA;IEPP DOUFELGOU;EPP POUDA G/A;KAWA-BAS;9,889433;1,259156;0
50506P082P;DRE KARA;IEPP DOUFELGOU;EPP POUDA G/B;KAWA-BAS;9,88942;1,259138;0
50506P018P;DRE KARA;IEPP DOUFELGOU;EPP ATCHONTA;TAMDE;9,888488333;1,1016;0
50506P047P;DRE KARA;IEPP DOUFELGOU;EPP KAOUNO;LAO;9,888388;1,050715;0
50405P041P;DRE KARA;IEPP DANKPEN;EPP KATCHAMBA;KATCHAMBACENTRE;9,887347;0,533257;0
50607P058P;DRE KARA;IEPP KERAN;EPP NANDOUNDJA;NANDOUNDJA;9,887043;0,756971;0
50506P096P;DRE KARA;IEPP DOUFELGOU;EPP WEWARE;WIYA;9,884393;1,189819;0
50607P012P;DRE KARA;IEPP KERAN;EPP AWANDA;AWANDA;9,883782;1,033256;0
50506P058P;DRE KARA;IEPP DOUFELGOU;EPP KPAHA G/A;TCHITCHIDE;9,883588;1,122506;0
50506P059P;DRE KARA;IEPP DOUFELGOU;EPP KPAHA G/B;TCHITCHIDE;9,883569;1,122483;0
50304P044P;DRE KARA;IEPP BINAH;EPP KOUYALA;KOUYALA;9,883061;1,328517;0
50607P079P;DRE KARA;IEPP KERAN;EPP TCHASTE G/A;TCHASTE;9,882409;0,944271;0
50506P001P;DRE KARA;IEPP DOUFELGOU;EPP ADELO;TAMDE;9,88168;1,091622;0
50405P114P;DRE KARA;IEPP DANKPEN;EPP NAWAKOU;NAWAKOU;9,881127;0,483955;0
50405P072P;DRE KARA;IEPP DANKPEN;EPP KPANKPANDE;KPANKPANDE;9,879085;0,396834;0
50607P089P;DRE KARA;IEPP KERAN;EPP WARTE FERME;WARTE;9,879037;0,902097;0
50607P111P;DRE KARA;IEPP KERAN;EPP TCHASTE G/B;TCHASTE;9,8779;0,968;0
50405P065P;DRE KARA;IEPP DANKPEN;EPP KOUTEOU;NATCHIBORE;9,876437;0,790413;0
50506P112P;DRE KARA;IEPP DOUFELGOU;EPP BOULOLA;BOULOLA;9,873566;1,264361;0
50506P030P;DRE KARA;IEPP DOUFELGOU;EPP DAG'TERGA;BADIDIGOU;9,87314;1,247817;0
50405P019P;DRE KARA;IEPP DANKPEN;EPP DJABIGNON;KIDJABOUN;9,873137;0,571097;0
50304P023P;DRE KARA;IEPP BINAH;EPP KADJIKA;KADJIKA;9,871291;1,360003;0
50506P093P;DRE KARA;IEPP DOUFELGOU;EPP TCHORE NACOCO;TCHORE;9,870801;0,878034;0
50607P027P;DRE KARA;IEPP KERAN;EPP KOBLE;KOBLE;9,869209;0,711586;0
50506P016P;DRE KARA;IEPP DOUFELGOU;EPP ANIMADE;TAMDE;9,868698;1,104866;0
50304P046P;DRE KARA;IEPP BINAH;EPP KPALGOU;KPALGOU;9,867495;1,316725;0
50405P109P;DRE KARA;IEPP DANKPEN;EPP NARGBAL;NARGBAL;9,86653;0,609061667;0
50506P032P;DRE KARA;IEPP DOUFELGOU;EPP DEFALE G/B;LAO;9,86629;1,091107;0
50506P031P;DRE KARA;IEPP DOUFELGOU;EPP DEFALE G/A;LAO;9,865853;1,090947;0
50304P014P;DRE KARA;IEPP BINAH;EPP BOUFALE CENTRE;KEAKOU-HAUT;9,863954;1,336693;0
50506P105C;DRE KARA;IEPP DOUFELGOU;EPC DEFALE;AMONDE;9,861989;1,091262;1
50506P027P;DRE KARA;IEPP DOUFELGOU;EPP BOURGOU;BOGAWARE;9,860589;1,271603;0
50405P153E;DRE KARA;IEPP DANKPEN;EDIL ITOUCHAN;DJABIGNON;9,860298333;0,565373333;1
50405P030P;DRE KARA;IEPP DANKPEN;EPP GBANGBALGOU;GBANGBALGO;9,859959;0,655031;0
50506P057P;DRE KARA;IEPP DOUFELGOU;EPP KOUWERE;TCHORE;9,858302;0,991646;0
50506P092P;DRE KARA;IEPP DOUFELGOU;EPP TCHORE AYIGA;TCHORE;9,855203;0,901652;0
50405P004P;DRE KARA;IEPP DANKPEN;EPP ATONTEBOU;ATONTEBOU;9,854995;0,818425;0
50304P010P;DRE KARA;IEPP BINAH;EPP BANWARE;KEAKOU-HAUT;9,854849;1,360476;0
50506P017P;DRE KARA;IEPP DOUFELGOU;EPP ATCHAKLAO;OUTI(AGOUMBOUA);9,854487;1,046013;0
50506P101C;DRE KARA;IEPP DOUFELGOU;EPC AMAIDE;AMAIDE;9,853732;1,105018;1
50304P081P;DRE KARA;IEPP BINAH;EPP TCHIMANDE;TCHIMANDE;9,850919;1,328698;0
50506P094P;DRE KARA;IEPP DOUFELGOU;EPP TCHORE VILLE;TCHORE;9,848033;1,017774;0
50405P136P;DRE KARA;IEPP DANKPEN;EPP TARGBAL;TARGBAL;9,847728;0,777239;0
50506P098P;DRE KARA;IEPP DOUFELGOU;EPP WOLADE;WOLADE;9,84737;1,078299;0
50405P017P;DRE KARA;IEPP DANKPEN;EPP DEMAN;DEMAN;9,847172;0,637153;0
50405P092P;DRE KARA;IEPP DANKPEN;EPP NABOURE;KIDJABOUN;9,846874;0,502493;0
50506P008P;DRE KARA;IEPP DOUFELGOU;EPP AGOUNDE 10;AGOUNDECENTRE;9,844653;0,930668;0
50506P019P;DRE KARA;IEPP DOUFELGOU;EPP AWASSAN;OUTI(AGOUMBOUA);9,841324;0,962398;0
50506P076P;DRE KARA;IEPP DOUFELGOU;EPP ODJINDANE;TCHORE;9,840927;0,855096;0
50405P145P;DRE KARA;IEPP DANKPEN;EPP TOUGEL;TOGUEL;9,840837;0,691249;0
50506P007P;DRE KARA;IEPP DOUFELGOU;EPP AGOUNDE;AGOUNDECENTRE;9,840827;0,882832;0
50304P049P;DRE KARA;IEPP BINAH;EPP LAMA TESSI 1;LAMA-DESSI1;9,839638;1,291268;0
50506P037P;DRE KARA;IEPP DOUFELGOU;EPP DOGA KAWA;DOGA-KAWA;9,83776;1,188884;0
50506P061P;DRE KARA;IEPP DOUFELGOU;EPP KPALOWA;KPALOWA;9,834298;1,200352;0
50304P073P;DRE KARA;IEPP BINAH;EPP SOMBRASSI;LAMA-DESSI1;9,833818;1,3079;0
50405P140P;DRE KARA;IEPP DANKPEN;EPP TCHIRKA;NATCHIBORE;9,833393;0,737949;0
50405P033P;DRE KARA;IEPP DANKPEN;EPP IBOUNDJO;IBOUDJO;9,833353;0,542877;0
50304P001P;DRE KARA;IEPP BINAH;EPP AGBARADA;AGBARADA;9,83172;1,258122;0
50506P072P;DRE KARA;IEPP DOUFELGOU;EPP NATOUN;NATOUN;9,829104;1,124832;0
50506P108C;DRE KARA;IEPP DOUFELGOU;EPC SIOU G/A;KAMANTE;9,82648;1,200453;1
50405P095P;DRE KARA;IEPP DANKPEN;EPP NAMAB G/A;NAMAB;9,826287;0,593222;0
50405P096P;DRE KARA;IEPP DANKPEN;EPP NAMAB G/B;NAMAB;9,826194;0,593277;0
50304P052P;DRE KARA;IEPP BINAH;EPP MADJATOM G/B;TCHIMANDE;9,825781;1,363442;0
50304P051P;DRE KARA;IEPP BINAH;EPP MADJATOM G/A;TCHIMANDE;9,825646;1,363419;0
50506P006P;DRE KARA;IEPP DOUFELGOU;EPP AGOUMBOUA;KADJALLA;9,824687;0,996148;0
50506P036P;DRE KARA;IEPP DOUFELGOU;EPP DJORERGOU G/B;DJORERGOU;9,824467;1,209539;0
50506P035P;DRE KARA;IEPP DOUFELGOU;EPP DJORERGOU G/A;DJORERGOU;9,824441;1,209557;0
50506P110C;DRE KARA;IEPP DOUFELGOU;EPC NDA SIOU;BORGA;9,824305;1,202696;1
50405P139P;DRE KARA;IEPP DANKPEN;EPP TCHANGBLIB;TCHANGBLIM;9,82375;0,424941;0
50506P046P;DRE KARA;IEPP DOUFELGOU;EPP KADJALLIM;AGOUNDECENTRE;9,822115;0,913108;0
50405P142P;DRE KARA;IEPP DANKPEN;EPP TEMAN;TEMAN;9,821353;0,515215;0
50304P005P;DRE KARA;IEPP BINAH;EPP ASSERE PLATEAU;ASSERE-BAS;9,820638;1,28588;0
50405P066P;DRE KARA;IEPP DANKPEN;EPP KOUTIERE;KOUTIERE;9,817793;0,806505;0
50506P033P;DRE KARA;IEPP DOUFELGOU;EPP DJEREGOU;DJEREGOU;9,81779;1,145411;0
50506P095P;DRE KARA;IEPP DOUFELGOU;EPP TENEGA G/A;BIDIGOU;9,817679;1,132885;0
50506P117P;DRE KARA;IEPP DOUFELGOU;EPP TENEGA G/B;BIDIGOU;9,817633333;1,132865;0
50506P023P;DRE KARA;IEPP DOUFELGOU;EPP BALE;BALE;9,817469;1,121731;0
50405P107P;DRE KARA;IEPP DANKPEN;EPP NAPIMBOU;NAPIMBO;9,817188;0,647905;0
50304P011P;DRE KARA;IEPP BINAH;EPP BINAH NOH G/A;TCHIMANDE;9,814594;1,336157;0
50304P012P;DRE KARA;IEPP BINAH;EPP BINAH NOH G/B;TCHIMANDE;9,814505;1,335987;0
50304P076P;DRE KARA;IEPP BINAH;EPP SWANG;ASSERE-BAS;9,813664;1,303536;0
50405P123P;DRE KARA;IEPP DANKPEN;EPP OCREDO;OCREDO;9,8131;0,473669;0
50506P116P;DRE KARA;IEPP DOUFELGOU;EPP SIOU CENTRALE G/B;BIRGOU;9,810733333;1,197093333;0
50506P084P;DRE KARA;IEPP DOUFELGOU;EPP SIOU CENTRALE G/A;HAGOU;9,810682;1,197019;0
50506P034P;DRE KARA;IEPP DOUFELGOU;EPP DJOFAGA;DJOFAGA;9,8103;1,136863;0
50405P025P;DRE KARA;IEPP DANKPEN;EPP DJAPAKA;NATCHIBORE;9,807517;0,768922;0
50304P017P;DRE KARA;IEPP BINAH;EPP DAMBOURGOU;ALAMBOURGOU;9,806858;1,35546;0
50405P064P;DRE KARA;IEPP DANKPEN;EPP KOUTEGOU;KOUTEGOU;9,806195;0,850556;0
50506P042P;DRE KARA;IEPP DOUFELGOU;EPP HAGOU;HAGOU;9,806067;1,206976;0
50506P077P;DRE KARA;IEPP DOUFELGOU;EPP OKPELOUN;KADJALLA;9,804403;0,936591;0
50405P040P;DRE KARA;IEPP DANKPEN;EPP KAGMATCHEDO;KIDJABOUN;9,804319;0,550301;0
50405P036P;DRE KARA;IEPP DANKPEN;EPP IKPASSOLE;IKPASSALE/KAPAB;9,802372;0,385468;0
50506P103C;DRE KARA;IEPP DOUFELGOU;EPC BAGA G/B;BAGA(URBAIN);9,802152;1,10615;1
50506P080P;DRE KARA;IEPP DOUFELGOU;EPP OTCHAKTE;AGBASSA;9,80166;0,88106;0
50506P049P;DRE KARA;IEPP DOUFELGOU;EPP KIRGAH;BAGA(URBAIN);9,801391;1,095872;0
50304P050P;DRE KARA;IEPP BINAH;EPP LAOHOUDE;ASSERE-BAS;9,801347;1,268803;0
50304P004P;DRE KARA;IEPP BINAH;EPP ASSERE BAS;ASSERE-BAS;9,799646;1,29167;0
50304P016P;DRE KARA;IEPP BINAH;EPP CONFESS G/B;PESSAREFARO-KOKA;9,798603;1,231158;0
50506P060P;DRE KARA;IEPP DOUFELGOU;EPP KPALGAN;BAGA(URBAIN);9,79678;1,119976;0
50506P053P;DRE KARA;IEPP DOUFELGOU;EPP KOUKOU;KOUKOU;9,795461;1,184956;0
50304P015P;DRE KARA;IEPP BINAH;EPP CONFESS G/A;PESSARECONFESSKOULAOUDA;9,795299;1,238386;0
50506P045P;DRE KARA;IEPP DOUFELGOU;EPP KADJALLA;KADJALLA;9,795179;0,975215;0
50506P102C;DRE KARA;IEPP DOUFELGOU;EPC BAGA G/A;BAGA(URBAIN);9,79369;1,102886;1
50405P023P;DRE KARA;IEPP DANKPEN;EPP DJAMGBOUDJADO;DJANGBODJADO;9,793568;0,635023;0
50405P111P;DRE KARA;IEPP DANKPEN;EPP NATCHIBORE;NATCHIBORE;9,793499;0,751434;0
50405P034P;DRE KARA;IEPP DANKPEN;EPP IDAMBADO;GUERIN-KOUKA;9,791761;0,605821;0
50506P021P;DRE KARA;IEPP DOUFELGOU;EPP BAGA G/A;BAGA(URBAIN);9,791494;1,100898;0
50304P063P;DRE KARA;IEPP BINAH;EPP PESSARE POUH;PESSAREPOUH;9,791437;1,225272;0
