CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude
50710P090C;DRE KARA;IEPP KOZAH CENTRE;EPI EL NOUR;VILLEDEKARA;9,55916;1,20337
50710P096L;DRE KARA;IEPP KOZAH CENTRE;EPL ESPOIR;VILLEDEKARA;9,5575;1,203831
50710P105L;DRE KARA;IEPP KOZAH CENTRE;EPL SOLIM;VILLEDEKARA;9,556668333;1,193611667
50710P075C;DRE KARA;IEPP KOZAH CENTRE;EPC KARA VILLE;VILLEDEKARA;9,55426;1,189905
50710P100L;DRE KARA;IEPP KOZAH CENTRE;EPL LA VOIE DE L'UNIVERSITE;VILLEDEKARA;9,553216;1,208114
50710P107L;DRE KARA;IEPP KOZAH CENTRE;EPL LA TENDRESSE;VILLEDEKARA;9,553147;1,191183
50710P086C;DRE KARA;IEPP KOZAH CENTRE;EPE LEZIYO;VILLEDEKARA;9,553;1,166975
50710P109L;DRE KARA;IEPP KOZAH CENTRE;EPL VIVENDA DES SOURDS KARA;VILLEDEKARA;9,551986667;1,200293333
50710P084C;DRE KARA;IEPP KOZAH CENTRE;EPE KARA VILLE G/A;VILLEDEKARA;9,549365;1,19289
50710P085C;DRE KARA;IEPP KOZAH CENTRE;EPE KARA VILLE G/B;VILLEDEKARA;9,549365;1,19289
50710P088C;DRE KARA;IEPP KOZAH CENTRE;EPI EL FRIDAOS;VILLEDEKARA;9,549126;1,186714
50710P083C;DRE KARA;IEPP KOZAH CENTRE;EPE BAPTISTE LA CHARITE;VILLEDEKARA;9,54727;1,179268333
50710P103L;DRE KARA;IEPP KOZAH CENTRE;EPL SAINT PATRICK;VILLEDEKARA;9,54725;1,185983333
50710P069C;DRE KARA;IEPP KOZAH CENTRE;EPC ADABAWERE;VILLEDEKARA;9,547241;1,164025
50710P082C;DRE KARA;IEPP KOZAH CENTRE;EPE BAPTISTE JERUSALEM;VILLEDEKARA;9,547191;1,178995
50710P077C;DRE KARA;IEPP KOZAH CENTRE;EPC TCHITCHINIDA;VILLEDEKARA;9,547122;1,214716
50710P099L;DRE KARA;IEPP KOZAH CENTRE;EPL LA FRATERNITE;VILLEDEKARA;9,546241;1,176821
50710P095L;DRE KARA;IEPP KOZAH CENTRE;EPL CSP CIA AU;VILLEDEKARA;9,546216667;1,20312
50710P106L;DRE KARA;IEPP KOZAH CENTRE;EPL LA TRINITE;VILLEDEKARA;9,545093333;1,212426667
50710P104L;DRE KARA;IEPP KOZAH CENTRE;EPL LE SAVOIR;VILLEDEKARA;9,544559;1,182802
50710P117P;DRE KARA;IEPP KOZAH CENTRE;EPL LES LEADERS;VILLEDEKARA;9,54404;1,193676667
50710P071C;DRE KARA;IEPP KOZAH CENTRE;EPC DONGOYO;VILLEDEKARA;9,543356;1,172431
50710P087C;DRE KARA;IEPP KOZAH CENTRE;EPE TCHITCHINIDA;VILLEDEKARA;9,54196;1,211313
50710P089C;DRE KARA;IEPP KOZAH CENTRE;EPI EL ILMIYA;VILLEDEKARA;9,540713333;1,193146667
50710P101L;DRE KARA;IEPP KOZAH CENTRE;EPL MON DESTIN;VILLEDEKARA;9,53169;1,202657
50710P001P;DRE KARA;IEPP KOZAH CENTRE;EPA ENI KARA G/A;VILLEDEKARA;9,530862;1,206738
50710P091P;DRE KARA;IEPP KOZAH CENTRE;EPA ENI KARA G/B;VILLEDEKARA;9,530862;1,206738
50710P093C;DRE KARA;IEPP KOZAH CENTRE;EPC LA PROVIDENCE;VILLEDEKARA;9,528033333;1,182853333
50710P097L;DRE KARA;IEPP KOZAH CENTRE;EPL HG SOS KARA G/A;VILLEDEKARA;9,509216;1,20515
50710P108L;DRE KARA;IEPP KOZAH CENTRE;EPL CENTRE DES AVEUGLES KARA (CASPA K);VILLEDEKARA;9,507536667;1,20845
50708P059C;DRE KARA;IEPP KOZAH SUD;EPC JEAN PAUL II DE WELOU;WELOU;9,484694;1,174724
50708P056C;DRE KARA;IEPP KOZAH SUD;EPC LIMKAO;KPINZINDE;9,477177;1,288318
50708P055C;DRE KARA;IEPP KOZAH SUD;EPC ATHENEE SAINT. ALBERT LE GRAND;AGBANGTCHOOU;9,470267;1,318498
50708P057C;DRE KARA;IEPP KOZAH SUD;EPC SAINT. FRANCOIS D'ASSISE D'ADOMDE;ADOMDE;9,460874;1,256538
50203P072C;DRE KARA;IEPP BASSAR NORD;EPC KABOU CENTRE G/A;KABOU;9,456615;0,803539
50203P073C;DRE KARA;IEPP BASSAR NORD;EPC KABOU SARA;SARA;9,447665;0,830789
50203P079C;DRE KARA;IEPP BASSAR NORD;EPC KABOU CENTRE G/B;KABOU;9,447665;0,830789
50101P067C;DRE KARA;IEPP ASSOLI;EPI DAROUL HIKIMAH;VILLEDEBAFILO;9,363911667;1,245955
50101P066C;DRE KARA;IEPP ASSOLI;EFA AS SALAM;SOUDOU;9,361696667;1,350223333
50101P055C;DRE KARA;IEPP ASSOLI;EPI EL HOUDA;VILLEDEBAFILO;9,361069;1,250122
50101P065C;DRE KARA;IEPP ASSOLI;EPI FRANCO ARABE CIFA BAFILO;VILLEDEBAFILO;9,359758;1,262507
50101P057L;DRE KARA;IEPP ASSOLI;EPL SAOUD MATIR;VILLEDEBAFILO;9,354553;1,246526
50202P088P;DRE KARA;IEPP BASSAR SUD;INABA G/B;KALANGA;9,300483;0,652386
50101P056C;DRE KARA;IEPP ASSOLI;EPI FRANCO ARABE DE KOUMONDE;KIDEROU;9,296621667;1,237793333
50202P082C;DRE KARA;IEPP BASSAR SUD;EPC BASSAR G/B;VILLEDEBASSAR;9,268898;0,783951
50202P081C;DRE KARA;IEPP BASSAR SUD;EPC BASSAR G/A;VILLEDEBASSAR;9,268771;0,783624
50202P083L;DRE KARA;IEPP BASSAR SUD;EPL BARBA BASSAR;BIKOTIBA;9,257718;0,785129
50202P080C;DRE KARA;IEPP BASSAR SUD;EPE AD BASSAR;VILLEDEBASSAR;9,257634;0,773002
50101P054C;DRE KARA;IEPP ASSOLI;EPC ALEDJO KADARA;ALEDJO-KADARA;9,25377;1,206281
40101P086C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC ALEHERIDE;ALEHERIDE;9,208943;1,203369
40406P072C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPI GOUNI BOU;KOMIDE;9,203358;1,4126007
40101P097C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPI IHYAI DINE;AGOULOU;9,122273;1,322607
50202P089P;DRE KARA;IEPP BASSAR SUD;KOUNTOUN G/B;BOUGABOU;9,120769;0,574354
40406P079L;DRE CENTRALE;IEPP TCHAMBA OUEST;EPL JIF N'DOBITI;VILLEDETCHAMBA;9,028396667;1,413086667
40406P078L;DRE CENTRALE;IEPP TCHAMBA OUEST;EPL JEAN JACQUES ROUSSEAU;VILLEDETCHAMBA;9,026261;1,42492
40406P077L;DRE CENTRALE;IEPP TCHAMBA OUEST;EPL IBRAHIM;VILLEDETCHAMBA;9,024493333;1,409583333
40406P076L;DRE CENTRALE;IEPP TCHAMBA OUEST;EPL ACADEMIE;VILLEDETCHAMBA;9,022938333;1,438311667
40406P090C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPI CENTRE ISLAMIQUE TOGO;VILLEDETCHAMBA;9,021345;1,403178333
40406P106L;DRE CENTRALE;IEPP TCHAMBA OUEST;EPL LA REFERENCE;VILLEDETCHAMBA;9,021203333;1,405496667
40101P092C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPE PHILADELPHIE;KPANGALAMURBAIN;9,010433;1,11498
40101P094C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC SAINTE JOSEPHINE BAKHITA;KPANGALAMURBAIN;9,010065;1,12821
40101P095C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPI CISELA;KPANGALAMURBAIN;9,006088;1,140345
40101P089C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC LES FLAMBOYANTS;KPANGALAMURBAIN;8,997329;1,116284
40101P090C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC NDA;KOMAHURBAIN;8,991693;1,137226
40101P087C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC CATHEDRALE;KOMAHURBAIN;8,9894523;1,1352029
40102P107L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL LA GRACE;KOMAHURBAIN;8,989298333;1,13715
40101P099L;DRE CENTRALE;IEPP TCHAOUDJO NORD;ECOLE PRIVEE SPECIALISEE C.I.E.F.A.;KADAMBARA;8,989266667;1,144821667
40102P101C;DRE CENTRALE;IEPP TCHAOUDJO SUD;CPI CCIFA;KOMAHURBAIN;8,989266667;1,144821667
40101P100L;DRE CENTRALE;IEPP TCHAOUDJO NORD;ECOLE PRIVEE SPECIALISEE (EPS) ENVOL;KOMAHURBAIN;8,9890521;1,1350669
40101P093C;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPC SAINT AMBROISE;KOMAHURBAIN;8,987383;1,109437
40101P107C;DRE CENTRALE;IEPP TCHAOUDJO NORD;ECOLE EVANGELIQUE DE SOKODE;KOMAHURBAIN;8,9849924;1,1326814
40101P105L;DRE CENTRALE;IEPP TCHAOUDJO NORD;EPL LA CONCORDE;KOMAHURBAIN;8,984965;1,145244
40102P115L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL RABELAIS;KOMAHURBAIN;8,984787;1,160967
40102P106C;DRE CENTRALE;IEPP TCHAOUDJO SUD;CPI FRANCO ARABE SALIMDE;KOMAHURBAIN;8,98291;1,154436667
40102P109L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL LE SAVOIR;KOMAHURBAIN;8,982816;1,153036
40102P112L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL MON AVENIR G/A;KOMAHURBAIN;8,981393;1,142362
40102P113L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL MON AVENIR G/B;KOMAHURBAIN;8,981393;1,142362
40102P119L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL YALE;KOMAHURBAIN;8,981276667;1,152065
40102P130C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI AFFAF;KOMAHURBAIN;8,981135;1,167806667
40102P103C;DRE CENTRALE;IEPP TCHAOUDJO SUD;CPI DE SOKODE;KOMAHURBAIN;8,979431;1,154592
40102P108L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL LE PHENIX;KOMAHURBAIN;8,978948;1,151924
40102P100C;DRE CENTRALE;IEPP TCHAOUDJO SUD;CPI DAROULCOUR'AN;KOMAHURBAIN;8,977294;1,166035
40102P114L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL PASEORSC;KOMAHURBAIN;8,976548;1,1398707
40102P096C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPC EASAA G/C;KOMAHURBAIN;8,974291667;1,155473333
40102P121C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI ECIYA;KOMAHURBAIN;8,973773333;1,160341667
40102P131C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI ALPHA MEMEN MAKO;KOMAHURBAIN;8,972071667;1,17008
40102P104C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI EL FAROUK;KOMAHURBAIN;8,970561;1,173565
40102P110L;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPL MALI BERO;KOMAHURBAIN;8,970169;1,16215
40102P094C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPC EASAA G/A;KOMAHURBAIN;8,9675477;1,1503783
40102P095C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPC EASAA G/B;KOMAHURBAIN;8,9675477;1,1503783
40406P069C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPC KOULOUMI;KOUSSOUNTOU;8,960039;1,518526
40102P097C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPC KOLOWARE;KOLOWARE;8,95517;1,287933
40102P105C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI NOURIA;KPARATAOU;8,947775;1,200476667
40102P132C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPI BAVILE II;BAVILE;8,945233333;1,07502
40407P060C;DRE CENTRALE;IEPP TCHAMBA EST;EPC BALANKA;BALANKA;8,8732784;1,6076238
40407P090C;DRE CENTRALE;IEPP TCHAMBA EST;EPI GARI GACOUTA BALANKA;GOUBI;8,8661033;1,6193731
40406P100C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPI ABDOUL AZIZ BOUNBAZ KOUSSOUNTOU;KOUSSOUNTOU;8,8426;1,51676
40406P101C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPI KOUSSOUNTOU;KOUSSOUNTOU;8,833175;1,513755
40406P071C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPI ABOU BABA;VILLEDETCHAMBA;8,821327;1,465052
40406P068C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPC TEHEZA;TEHEZA;8,7766445;1,5479726
40407P083C;DRE CENTRALE;IEPP TCHAMBA EST;EPI FRANCO ARABE DJAMA;KABOLI;8,7542529;1,5802825
40407P064C;DRE CENTRALE;IEPP TCHAMBA EST;EPI FRANCO ARABE KABOLI;KABOLI;8,7521004;1,5948547
40407P057C;DRE CENTRALE;IEPP TCHAMBA EST;EPC BATANI G/A;KABOLI;8,7406624;1,5996544
40407P058C;DRE CENTRALE;IEPP TCHAMBA EST;EPC BATANI G/B;HEZOUDE/OKOUTA;8,7395412;1,5982706
40407P073C;DRE CENTRALE;IEPP TCHAMBA EST;EPE ASSEMBLEE DE DIEU KABOLI;KABOLI;8,7390913;1,591012
40203P081C;DRE CENTRALE;IEPP SOTOUBOUA NORD;EPC AOUDA;AOUDA;8,730575;1,049647
40406P091C;DRE CENTRALE;IEPP TCHAMBA OUEST;EPB HEZOUDE;KOUSSOUNTOU;8,709895;1,472244
40102P093C;DRE CENTRALE;IEPP TCHAOUDJO SUD;EPC AOU MONO;AOU-MONO;8,707445;1,226426667
40203P092C;DRE CENTRALE;IEPP SOTOUBOUA NORD;EPE METHODISTE LIBRE DE LIMBRI;FAZAO;8,700948333;0,8035
40407P062C;DRE CENTRALE;IEPP TCHAMBA EST;EPC GOUBI;GOUBI;8,658665;1,465592
40203P080C;DRE CENTRALE;IEPP SOTOUBOUA NORD;EPC ADJENGRE;ADJENGRE;8,656971;1,017903
40407P080C;DRE CENTRALE;IEPP TCHAMBA EST;EPI FRANCO ARABE GOUBI;AFFEM-BOUSSOU;8,65536;1,46558
40203P084C;DRE CENTRALE;IEPP SOTOUBOUA NORD;EPEP ADJENGRE;ADJENGRE;8,652821;1,018593
40204P063C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC DEREBOUA;DEREBOUABOGO;8,5691587;1,0240376
40204P071C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC SOTOUBOUA VILLE G/A;VILLEDESOTOUBOUA;8,560248;0,97909
40204P078C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPI SOTOUBOUA VILLE;VILLEDESOTOUBOUA;8,5596911;0,9905697
40204P077C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPE SOTOUBOUA VILLE;VILLEDESOTOUBOUA;8,5568867;0,9735643
40204P076C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC NOTRE DAME DE LA MERCI;VILLEDESOTOUBOUA;8,5555501;1,0069643
40204P081L;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPL LE PARISIEN;VILLEDESOTOUBOUA;8,555215;0,983192
40204P068C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC SOTOUBOUA KPANDIYO;VILLEDESOTOUBOUA;8,551504;0,990373
40407P082C;DRE CENTRALE;IEPP TCHAMBA EST;EPI HAMZA DE BAGO;BAGO;8,524142;1,407387
40407P055C;DRE CENTRALE;IEPP TCHAMBA EST;EPC BAGO;BAGO;8,513105;1,400259
40407P054C;DRE CENTRALE;IEPP TCHAMBA EST;EPC AFFOSSALA;BAGO;8,445714;1,290381
40204P066C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC HEZOUDE;HEZOUDE;8,4388091;0,892274
40204P073C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC TCHEBEBE G/A;TCHEBEBE;8,4335694;0,9898127
40204P074C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC TCHEBEBE G/B;TCHEBEBE;8,4335694;0,9898127
40204P064C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC BODJONDE;BODJONDE;8,4308407;1,0385813
40204P067C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC KAZABOUA;KANIAMBOUA;8,4285102;1,0769049
40204P065C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC KAZA;KANIAMBOUA;8,4257337;1,1406971
40204P069C;DRE CENTRALE;IEPP SOTOUBOUA SUD;EPC MEWEDE;MEWEDE;8,4145514;0,9028373
40508P105C;DRE CENTRALE;IEPP BLITTA EST;EPE BLITTA VILLAGE;BLITTALOSSO;8,347296;1,009451
40508P095C;DRE CENTRALE;IEPP BLITTA EST;EPC BLITTA CARREFOUR;BLITTAVILLAGE/BLITTACARREFOUR;8,343598;1,013109
40508P114L;DRE CENTRALE;IEPP BLITTA EST;EPL LE MIRACLE;BLITTALOSSO;8,342035;1,003875
40508P107L;DRE CENTRALE;IEPP BLITTA EST;EPL BERNARD DADIE;BLITTAVILLAGE/BLITTACARREFOUR;8,340856;1,010068
31116P120C;DRE PLATEAUX;IEPP EST MONO;EPC ISSATI;ISSATI;8,333996;1,36037
40508P101C;DRE CENTRALE;IEPP BLITTA EST;EPC TCHANGAIDE;TCHANGAIDE;8,332829;1,042396
40508P096C;DRE CENTRALE;IEPP BLITTA EST;EPC BLITTA GARE G/A;VILLEDEBLITTA;8,327186;0,982159
40508P097C;DRE CENTRALE;IEPP BLITTA EST;EPC BLITTA GARE G/B;VILLEDEBLITTA;8,327186;0,982159
40508P106C;DRE CENTRALE;IEPP BLITTA EST;EPI FRANCO ARABE;VILLEDEBLITTA;8,3185535;0,9809107
40508P104C;DRE CENTRALE;IEPP BLITTA EST;EPC YALOUMBE;YALOUMBE;8,306947;1,075328
40508P102C;DRE CENTRALE;IEPP BLITTA EST;EPC TONDJA;TONDJA;8,278919;0,966676
40508P103C;DRE CENTRALE;IEPP BLITTA EST;EPC WARAGNI;WARAGNI;8,2684581;1,0457258
31116P157C;DRE PLATEAUX;IEPP EST MONO;EPC ADJOGBA;ADJOGBA;8,226865;1,580263333
40508P094C;DRE CENTRALE;IEPP BLITTA EST;EPC AGBANDI;AGBANDI+KANKARANTANG;8,222498;1,137245
40509P076C;DRE CENTRALE;IEPP BLITTA OUEST;EPC BOUNATCHE;BOUNATCHE;8,222182;1,026453
40508P033L;DRE CENTRALE;IEPP BLITTA EST;EPL LA CREATIVITE;(NIKI-NIKI2)KPAGOUDA/BELEWALOUDE;8,222171667;1,135385
40509P105L;DRE CENTRALE;IEPP BLITTA OUEST;EPL LA PROVIDENCE;TADJAN;8,2209468;0,8105799
40509P102C;DRE CENTRALE;IEPP BLITTA OUEST;EPC TADJAN;(NIKI-NIKI2)KPAGOUDA/BELEWALOUDE;8,2163618;0,8105259
40509P087C;DRE CENTRALE;IEPP BLITTA OUEST;EPC PAGALA VILLAGE;PAGALA-VILLAGE;8,2140311;0,8796772
40509P082C;DRE CENTRALE;IEPP BLITTA OUEST;EPC KATCHENKE;KATCHENKE;8,2005394;0,6925002
31116P124C;DRE PLATEAUX;IEPP EST MONO;EPC TCHEKITA;MORETAN;8,199679;1,341862
40508P098C;DRE CENTRALE;IEPP BLITTA EST;EPC GARANDJI;LANGABOU;8,19172;1,097074
40509P081C;DRE CENTRALE;IEPP BLITTA OUEST;EPC GASSI GASSI;GASSI-GASSI;8,187569;0,952442
40509P090C;DRE CENTRALE;IEPP BLITTA OUEST;EPC TCHIFAMA;TCHIFAMA;8,1866287;0,8091047
40509P085C;DRE CENTRALE;IEPP BLITTA OUEST;EPC PAGALA GARE G/A;PAGALA-GARE;8,1825164;0,9704072
40509P095L;DRE CENTRALE;IEPP BLITTA OUEST;EPL DEO GRATIAS;PAGALA-GARE;8,177998;0,979084
40509P094L;DRE CENTRALE;IEPP BLITTA OUEST;EPL COLOMBE D'OR;YOU;8,1764134;0,9641716
31116P122C;DRE PLATEAUX;IEPP EST MONO;EPC MORETAN;MORETAN;8,110677;1,352041
31116P129C;DRE PLATEAUX;IEPP EST MONO;EPI FRANCO ARABE MORETAN;MORETAN;8,110288;1,351195
31116P128C;DRE PLATEAUX;IEPP EST MONO;EPE BAPTISTE MORETAN;MORETAN;8,106361667;1,353381667
31116P121C;DRE PLATEAUX;IEPP EST MONO;EPC KAMINA;KAMINA(Est-Mono);8,092519;1,561882
31116P160P;DRE PLATEAUX;IEPP EST MONO;FANGODO OLIGO G/B;FANGODO;8,087781;1,483291
40509P079C;DRE CENTRALE;IEPP BLITTA OUEST;EPC DIGUENGUE;DIGUENGUE;8,0862035;0,6406735
40509P091C;DRE CENTRALE;IEPP BLITTA OUEST;EPC TINTCHRO;TINTCHRO-KOFLO;8,078938;0,770042
31116P127C;DRE PLATEAUX;IEPP EST MONO;EPB MODOKOUTE;AGUERE;8,070007;1,271803
40509P089C;DRE CENTRALE;IEPP BLITTA OUEST;EPC TCHARE BAOU;YADE;8,056142;1,02222
